0,0
0.1,-0.0009468331
0.2,-0.002153566
0.3,-0.003990662
0.4,-0.007548545
0.5,-0.01386099
0.6,-0.0281817
0.7,-0.05837759
0.8000001,-0.1213331
0.9000001,-0.2479836
1,-0.4932088
1.1,-0.944602
1.2,-1.714628
1.3,-2.881848
1.4,-4.316656
1.5,-5.402925
1.6,-5.377434
1.7,-4.04635
1.8,-1.453165
1.9,2.355621
2,7.393692
2.1,13.70969
2.2,21.32187
2.3,30.14248
2.4,39.90946
2.5,50.17459
2.6,60.36764
2.7,69.91832
2.799999,78.36432
2.899999,85.37968
2.999999,90.71183
3.099999,94.06134
3.199999,94.96585
3.299999,92.8074
3.399999,87.18662
3.499999,79.00631
3.599999,71.75865
3.699999,67.70743
3.799999,67.03065
3.899998,69.19079
3.999998,73.6651
4.099998,80.1132
4.199998,88.29842
4.299998,97.94259
4.399998,108.6092
4.499998,119.681
4.599998,130.4619
4.699998,140.3463
4.799998,148.9426
4.899998,156.0943
4.999998,161.8154
5.099998,166.1949
5.199997,169.3099
5.299997,171.1709
5.399997,171.7227
5.499997,170.9364
5.599997,168.9482
5.699997,165.8054
5.799997,161.3574
5.899997,155.3247
5.999997,147.4142
6.099997,137.4967
6.199996,125.8572
6.299996,113.4433
6.399996,101.9183
6.499996,93.33111
6.599996,89.4883
6.699996,91.08945
6.799996,96.4526
6.899996,101.8603
6.999996,105.7988
7.099996,108.2439
7.199996,109.6232
7.299995,110.3533
7.399995,110.7223
7.499995,110.903
7.599995,110.9893
7.699995,111.0315
7.799995,111.0561
